Country Name,Country Code,Year,Literacy Rate,Unemployment Rate,GDP per Capita,Infant Mortality Rate,Health Expenditure,Poverty Rate,Region,IncomeGroup
Vanuatu,VUT,1994,68.6999969482422,8.103,1945.78899406965,24.3,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
"Yemen, Rep.",YEM,1994,37.0,8.34,2114.9112945037,89.2,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Kuwait,KWT,1995,78.0,0.694,57163.3492127299,12.2,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Lao PDR,LAO,1995,60.0,2.6,1348.79798272061,99.9,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
Maldives,MDV,1995,96.0,0.79,6223.48279182285,52.8,554.7110165040115,1.8,South Asia,Upper middle income
Malta,MLT,1995,88.0,6.34,13940.1769091077,8.2,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Turkmenistan,TKM,1995,99.0,8.3,3404.84898017059,67.7,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Burkina Faso,BFA,1996,13.0,2.451,753.30916674031,99.2,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Colombia,COL,1996,91.0,11.81,6638.839736256,24.5,554.7110165040115,24.8,Latin America & Caribbean,Upper middle income
Guinea,GIN,1996,21.0,4.5,1048.15823915274,112.1,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
"Iran, Islamic Rep.",IRN,1996,73.0,9.1,9510.04382165743,37.8,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
New Caledonia,NCL,1996,96.0,18.64,8849.52577762818,19.7,554.7110165040115,1.8,East Asia & Pacific,High income
Tonga,TON,1996,99.0,2.408,3409.53731725311,15.1,554.7110165040115,1.8,East Asia & Pacific,Upper middle income
Uruguay,URY,1996,97.0,11.93,9524.08700354576,17.7,554.7110165040115,0.9,Latin America & Caribbean,High income
Mozambique,MOZ,1997,39.0,2.7,387.059044305483,125.0,554.7110165040115,1.8,Sub-Saharan Africa,Low income
West Bank and Gaza,PSE,1997,86.0,10.507,2530.23916066771,29.2,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Qatar,QAT,1997,83.0,0.87,79218.9639361548,11.7,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Cote d'Ivoire,CIV,1998,36.0,4.1,3086.12766383427,94.9,554.7110165040115,44.1,Sub-Saharan Africa,Lower middle income
Cambodia,KHM,1998,67.0,0.71,1009.34761569951,94.8,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
Mali,MLI,1998,19.0,1.35,1154.33069360641,108.7,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Malawi,MWI,1998,64.0,4.935,941.051496433226,109.1,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Pakistan,PAK,1998,43.0,0.645,2419.07785436237,93.9,554.7110165040115,50.3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Azerbaijan,AZE,1999,99.0,10.9,3051.94233665211,64.0,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Belarus,BLR,1999,100.0,12.8,5331.41743967857,10.7,554.7110165040115,33.7,Europe & Central Asia,Upper middle income
Jamaica,JAM,1999,80.0,6.825,6308.92933583549,19.5,554.7110165040115,5.7,Latin America & Caribbean,Upper middle income
Kazakhstan,KAZ,1999,100.0,13.46,6625.78215190847,38.3,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Kyrgyz Republic,KGZ,1999,99.0,1.743,1747.30607418367,46.4,554.7110165040115,1.8,Europe & Central Asia,Lower middle income
Solomon Islands,SLB,1999,77.0,2.202,1754.07161034187,23.5,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
Viet Nam,VNM,1999,90.0,2.33,2420.93500045669,22.7,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1999,74.0,8.308,2083.92831221407,21.8,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
Zambia,ZMB,1999,68.0,12.495,1653.83649536649,92.5,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Aruba,ABW,2000,97.0,6.337,30245.7069739274,19.7,554.7110165040115,1.8,Latin America & Caribbean,High income
Burundi,BDI,2000,59.0,3.129,519.115060396355,88.6,21.9108979040842,1.8,Sub-Saharan Africa,Low income
Bosnia and Herzegovina,BIH,2000,97.0,25.187,4147.03813509401,8.3,330.214056274937,1.8,Europe & Central Asia,Upper middle income
Brazil,BRA,2000,86.0,10.889,9091.76851374523,29.1,757.667214553364,1.8,Latin America & Caribbean,Upper middle income
China,CHN,2000,91.0,3.26,2963.53238602023,30.0,130.171352160262,1.8,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,2000,49.0,4.816,3040.57593185363,91.4,109.094512844925,1.8,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,2000,68.0,7.536,2108.49454959751,82.8,90.5641466520969,1.8,Sub-Saharan Africa,Lower middle income
Comoros,COM,2000,68.0,4.398,1719.0179082758,64.8,132.268625959748,1.8,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,2000,76.1104431152344,13.088,3124.49488355024,29.4,129.42998680316,1.8,Sub-Saharan Africa,Upper middle income
Costa Rica,CRI,2000,95.0,5.08,7879.47794965988,11.2,532.125835665827,9.8,Latin America & Caribbean,High income
Estonia,EST,2000,100.0,13.36,9422.49706491914,8.8,485.687718341864,3.0,Europe & Central Asia,High income
Ghana,GHA,2000,58.0,10.456,2315.17803047482,61.8,43.7005854937812,1.8,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,2000,37.0,9.787,1731.3384764555,73.2,323.147120044704,1.8,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,2000,41.0,3.557,1013.97349183331,100.3,46.0495951075309,1.8,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,2000,88.0,7.955,7420.39310111594,106.5,81.2230622034578,1.8,Sub-Saharan Africa,Upper middle income
Guam,GUM,2000,99.5599975585938,15.32,8849.52577762818,19.7,554.7110165040115,1.8,East Asia & Pacific,High income
Iraq,IRQ,2000,74.0,8.058,10627.9400727491,38.4,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Kenya,KEN,2000,82.0,2.889,1906.89794095999,63.8,75.5376784243785,1.8,Sub-Saharan Africa,Lower middle income
Lao PDR,LAO,2000,70.0,2.046,1793.88582607334,86.8,79.4581282750249,1.8,East Asia & Pacific,Lower middle income
Lesotho,LSO,2000,86.0,16.227,1272.924433991,78.0,68.1577989474192,1.8,Sub-Saharan Africa,Lower middle income
Latvia,LVA,2000,100.0,14.211,7840.88147857358,11.6,434.274110642554,1.8,Europe & Central Asia,High income
Moldova,MDA,2000,97.0,8.539,3044.67050577354,27.9,124.52487206872,41.0,Europe & Central Asia,Upper middle income
Madagascar,MDG,2000,71.0,5.8,1235.78733941908,65.5,49.3237835529368,1.8,Sub-Saharan Africa,Low income
Maldives,MDV,2000,96.0,1.97,8526.28985996399,33.5,846.768501316316,1.8,South Asia,Upper middle income
Mexico,MEX,2000,91.0,2.646,11704.3811052518,23.7,496.776722411774,16.3,Latin America & Caribbean,Upper middle income
Myanmar,MMR,2000,90.0,0.717,948.748285178047,73.9,20.1395539935202,1.8,East Asia & Pacific,Lower middle income
Mongolia,MNG,2000,98.0,5.993,3739.69666851051,47.4,221.008636202465,1.8,East Asia & Pacific,Upper middle income
Mauritania,MRT,2000,51.0,10.033,2303.66639707769,67.6,106.406371482731,30.7,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,2000,84.0,9.138,9139.70367062111,16.6,265.984224220992,1.8,Sub-Saharan Africa,Upper middle income
Panama,PAN,2000,92.0,6.264,8097.2957828739,20.3,618.91419806411,16.3,Latin America & Caribbean,High income
Philippines,PHL,2000,93.0,3.767,3365.55833537799,27.3,102.809259146538,25.9,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,2000,57.0,2.92,2195.95783293206,56.0,41.7290237286942,1.8,East Asia & Pacific,Lower middle income
Rwanda,RWA,2000,65.0,11.731,609.265855545553,107.9,21.7783477297403,82.3,Sub-Saharan Africa,Low income
Sudan,SDN,2000,61.0,15.608,2616.46459960938,70.8,101.105294078912,1.8,Sub-Saharan Africa,Low income
Singapore,SGP,2000,93.0,3.7,43781.2691496809,3.0,1460.91448471503,1.8,East Asia & Pacific,High income
Eswatini,SWZ,2000,82.0,24.502,4422.62770357704,73.0,209.899707479129,65.0,Sub-Saharan Africa,Lower middle income
Chad,TCD,2000,26.0,0.79,1039.06955283557,102.0,44.5118403480914,1.8,Sub-Saharan Africa,Low income
Togo,TGO,2000,53.0,4.174,1314.73715657784,70.8,48.1735525714904,1.8,Sub-Saharan Africa,Low income
Thailand,THA,2000,93.0,2.389,7289.10499432356,18.5,226.025758239946,8.4,East Asia & Pacific,Upper middle income
Tajikistan,TJK,2000,99.0,4.15,1036.12988868059,62.2,44.6867164385255,1.8,Europe & Central Asia,Lower middle income
Uzbekistan,UZB,2000,99.0,12.317,2644.26354163536,55.1,159.571980914737,93.8,Europe & Central Asia,Lower middle income
Viet Nam,VNM,2000,90.0,2.26,2614.11840366563,21.7,107.36237832773,1.8,East Asia & Pacific,Lower middle income
Angola,AGO,2001,67.0,16.7,3427.85394963395,111.9,153.460841950517,1.8,Sub-Saharan Africa,Lower middle income
Albania,ALB,2001,99.0,18.57,4451.00052366074,17.0,247.754429419241,1.8,Europe & Central Asia,Upper middle income
Argentina,ARG,2001,97.0,17.32,11117.754923787,16.2,1040.53228145689,10.7,Latin America & Caribbean,Upper middle income
Armenia,ARM,2001,99.0,10.992,2844.36266367009,26.4,137.583779422161,24.1,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,2001,99.0,6.337,18568.679914651,11.9,892.166255417994,1.8,Latin America & Caribbean,High income
Bangladesh,BGD,2001,47.0,3.61,1597.58740614435,56.6,28.3064100893945,1.8,South Asia,Lower middle income
Bulgaria,BGR,2001,98.0,19.921,6961.03996834328,13.8,469.278323780622,4.7,Europe & Central Asia,High income
Bahrain,BHR,2001,87.0,1.12,46161.5758464288,10.1,1496.06996401106,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Belize,BLZ,2001,80.9000015258789,9.07,7863.51714507148,19.0,271.180168704035,1.8,Latin America & Caribbean,Upper middle income
Bolivia,BOL,2001,87.0,2.636,3434.14415650385,56.6,165.685703402865,22.3,Latin America & Caribbean,Lower middle income
Brunei Darussalam,BRN,2001,93.0,5.499,74253.8817193504,8.1,1966.26437378924,1.8,East Asia & Pacific,High income
"Congo, Dem. Rep.",COD,2001,67.0,3.239,403.98428591939,89.0,10.5957672573421,1.8,Sub-Saharan Africa,Low income
Cyprus,CYP,2001,97.0,4.043,22868.671875,5.4,1228.04794804528,1.8,Europe & Central Asia,High income
Ecuador,ECU,2001,91.0,4.252,5998.87508648611,23.0,228.771740232311,1.8,Latin America & Caribbean,Upper middle income
Greece,GRC,2001,96.0,10.764,20306.0878366634,5.1,1678.36971419519,1.8,Europe & Central Asia,High income
Honduras,HND,2001,80.0,4.0,2645.25477555617,28.4,156.846160907869,26.5,Latin America & Caribbean,Lower middle income
Croatia,HRV,2001,98.0,15.822,11654.2135278182,6.9,836.429025365542,0.0,Europe & Central Asia,High income
India,IND,2001,61.0,7.653,2199.53910446478,64.3,95.3952345656445,1.8,South Asia,Lower middle income
Italy,ITA,2001,98.0,9.599,28137.0558622418,4.5,2170.31340970543,1.8,Europe & Central Asia,High income
Lao PDR,LAO,2001,69.0,1.88,1908.06236587412,84.1,86.9088443948812,1.8,East Asia & Pacific,Lower middle income
Sri Lanka,LKA,2001,91.0,7.9,4328.19141111828,12.7,181.568850788911,1.8,South Asia,Lower middle income
Lithuania,LTU,2001,100.0,16.84,9456.87328070018,8.2,564.96015391185,1.6,Europe & Central Asia,High income
"Macao SAR, China",MAC,2001,91.0,6.393,36220.6349752851,19.7,554.7110165040115,1.8,East Asia & Pacific,High income
Namibia,NAM,2001,85.0,20.98,5196.15009836199,44.5,503.539927053398,1.8,Sub-Saharan Africa,Lower middle income
Niger,NER,2001,14.0,1.47,809.387186909375,103.6,38.3949923021457,1.8,Sub-Saharan Africa,Low income
Nicaragua,NIC,2001,77.0,7.203,2916.55168323761,29.2,159.940292767041,26.3,Latin America & Caribbean,Lower middle income
Nepal,NPL,2001,49.0,10.504,1388.47045455809,58.8,60.3711485501721,1.8,South Asia,Lower middle income
Sao Tome and Principe,STP,2001,85.0,15.73,1897.87411122439,47.5,183.084546605925,1.8,Sub-Saharan Africa,Lower middle income
Slovenia,SVN,2001,99.5999984741211,5.682,18765.4481075968,4.3,1494.27939851256,1.8,Europe & Central Asia,High income
Timor-Leste,TLS,2001,38.0,3.363,1618.64404121863,79.9,554.7110165040115,55.8,East Asia & Pacific,Lower middle income
Ukraine,UKR,2001,99.0,11.061,4746.85791015625,16.8,261.742669755155,1.8,Europe & Central Asia,Upper middle income
"Venezuela, RB",VEN,2001,93.0,13.04,12017.5493693874,17.0,554.7110165040115,14.7,Latin America & Caribbean,
Benin,BEN,2002,35.0,0.69,1799.88269639499,76.0,55.7187303799248,1.8,Sub-Saharan Africa,Lower middle income
Chile,CHL,2002,96.0,10.168,10133.404114206,8.2,730.449987770083,1.8,Latin America & Caribbean,High income
Cuba,CUB,2002,100.0,3.31,8849.52577762818,6.3,712.717476060512,1.8,Latin America & Caribbean,Upper middle income
Dominican Republic,DOM,2002,87.0,6.779,7157.66825484558,32.3,351.813898763037,9.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,2002,70.0,25.9,10080.182500398,32.4,347.532256239498,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Eritrea,ERI,2002,53.0,5.708,1701.69523684878,47.5,94.0609648081519,1.8,Sub-Saharan Africa,Low income
Georgia,GEO,2002,100.0,12.59,3718.68693255545,25.4,282.619686315144,22.3,Europe & Central Asia,Upper middle income
Guatemala,GTM,2002,69.0,2.747,4969.25744944448,37.9,320.339730943712,1.8,Latin America & Caribbean,Upper middle income
"Iran, Islamic Rep.",IRN,2002,77.0,12.8,12040.8612168067,28.1,536.29350345936,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Mexico,MEX,2002,90.0,3.003,11761.8865901666,21.7,568.149509462114,12.8,Latin America & Caribbean,Upper middle income
North Macedonia,MKD,2002,96.0,31.94,6395.19347476289,12.7,569.982166496539,3.0,Europe & Central Asia,Upper middle income
Romania,ROU,2002,97.0,8.112,7162.31731440545,17.0,332.595674939913,9.1,Europe & Central Asia,High income
Russian Federation,RUS,2002,99.0,7.875,8037.474609375,13.8,473.454964829201,2.0,Europe & Central Asia,High income
Senegal,SEN,2002,39.0,2.828,2026.77782446969,66.2,80.1120855335,1.8,Sub-Saharan Africa,Lower middle income
Seychelles,SYC,2002,92.0,6.337,14569.6256457696,11.9,628.489645020872,1.8,Sub-Saharan Africa,High income
Tanzania,TZA,2002,69.0,3.024,1302.05554199219,75.4,55.0518060407017,1.8,Sub-Saharan Africa,Lower middle income
Uganda,UGA,2002,68.0,3.5,1254.98203506699,81.4,51.7028264622086,78.6,Sub-Saharan Africa,Low income
Zambia,ZMB,2002,69.0,14.131,1837.06585172035,78.8,108.172053558523,68.0,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,2003,22.0,2.78,1037.83799374653,85.9,32.6176115748389,69.6,Sub-Saharan Africa,Low income
Botswana,BWA,2003,81.0,23.8,10223.9682803527,43.3,679.832791399211,1.8,Sub-Saharan Africa,Upper middle income
Guinea,GIN,2003,30.0,4.644,1327.96776541054,86.6,60.0122657006927,1.8,Sub-Saharan Africa,Lower middle income
Haiti,HTI,2003,59.0,12.18,2330.91873933383,64.7,78.4532289487872,1.8,Latin America & Caribbean,Lower middle income
Jordan,JOR,2003,90.0,14.5,6499.97887800748,20.9,592.523129836627,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Mali,MLI,2003,24.0,1.281,1496.41646759567,93.4,67.8946774087157,1.8,Sub-Saharan Africa,Low income
Montenegro,MNE,2003,98.0,30.458,7341.27844094377,10.8,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Mozambique,MOZ,2003,48.0,2.859,619.987510681772,89.5,20.1540056171957,1.8,Sub-Saharan Africa,Low income
Nigeria,NGA,2003,55.0,3.648,2851.04398807213,89.1,151.936648854147,51.1,Sub-Saharan Africa,Lower middle income
Oman,OMN,2003,81.0,4.62,40934.6957158245,11.2,1161.57995960418,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Philippines,PHL,2003,93.0,3.527,3761.49624595071,25.9,115.719084972817,24.3,East Asia & Pacific,Lower middle income
Serbia,SRB,2003,96.0,15.2,8023.9565828202,9.1,585.422765350947,0.9,Europe & Central Asia,Upper middle income
Brazil,BRA,2004,89.0,10.072,10525.7113783353,22.4,855.103407882858,15.3,Latin America & Caribbean,Upper middle income
Colombia,COL,2004,93.0,13.717,7909.34635155695,19.3,454.5635461847,19.2,Latin America & Caribbean,Upper middle income
Spain,ESP,2004,97.0,11.09,26163.3046245452,3.9,2017.77351637029,1.0,Europe & Central Asia,High income
Ethiopia,ETH,2004,35.9000015258789,2.767,557.825634822556,77.9,24.0800044628822,41.3,Sub-Saharan Africa,
Indonesia,IDN,2004,90.0,7.303,5700.04949535761,36.7,131.416241218034,45.4,East Asia & Pacific,Upper middle income
Cambodia,KHM,2004,74.0,1.003,1769.76235025244,59.3,105.753793759538,1.8,East Asia & Pacific,Lower middle income
Morocco,MAR,2004,52.0,10.83,5024.6943359375,38.5,209.777139578729,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Mexico,MEX,2004,91.0,3.937,12657.8156092307,20.0,719.407251052718,11.0,Latin America & Caribbean,Upper middle income
Peru,PER,2004,88.0,4.71,6037.52025106396,22.7,264.782147151607,23.5,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,2004,92.0,23.215,3013.73941946893,23.3,304.588249384879,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Qatar,QAT,2004,89.0,0.87,110957.735359888,9.0,3410.94560434199,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Sierra Leone,SLE,2004,35.0,3.42,1541.00571374326,112.4,77.1631865208625,1.8,Sub-Saharan Africa,Low income
Suriname,SUR,2004,90.0,9.49,9388.81890796976,24.3,561.125988617833,1.8,Latin America & Caribbean,Upper middle income
Chad,TCD,2004,28.0,0.685,1800.4564602371,94.8,77.7275860465523,1.8,Sub-Saharan Africa,Low income
Tunisia,TUN,2004,74.0,14.23,7671.84535965305,19.6,396.72755614429,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Turkiye,TUR,2004,87.0,10.838,10726.8964183186,22.8,526.652473040514,6.6,Europe & Central Asia,Upper middle income
Vanuatu,VUT,2004,78.4000015258789,8.447,2157.44517059131,20.1,76.362654474995,1.8,East Asia & Pacific,Lower middle income
"Yemen, Rep.",YEM,2004,54.0999984741211,12.132,2948.8184666162,61.9,162.608552899263,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Burkina Faso,BFA,2005,24.0,4.0,1171.76432319587,80.3,46.2921903467017,1.8,Sub-Saharan Africa,Low income
Bhutan,BTN,2005,53.0,3.1,4523.35970644529,44.1,154.585002224266,1.8,South Asia,Lower middle income
"Congo, Rep.",COG,2005,76.0,19.796,4278.92538741319,56.3,73.4923813452879,54.5,Sub-Saharan Africa,Lower middle income
Colombia,COL,2005,93.0,11.062,8432.33329078314,18.8,506.44348812402,16.8,Latin America & Caribbean,Upper middle income
Spain,ESP,2005,98.0,9.146,27629.7077024966,3.8,2154.31417201949,0.9,Europe & Central Asia,High income
Ethiopia,ETH,2005,29.8203392028809,2.497,624.51069241698,74.4,25.622268627668,1.8,Sub-Saharan Africa,
"Iran, Islamic Rep.",IRN,2005,82.0,11.813,14402.1053422847,23.3,719.45673856657,4.5,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Jordan,JOR,2005,91.0,14.8,7696.9450167189,19.7,682.036077507271,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
